"id","name","type","damage_class","pp","power","accuracy","priority","effect","effect_chance","caused_effect","crit_rate","recoil","flinch_chance","healing","min_turns","max_turns","status","category","range","flags","None0","None1","None2","padding0","padding1","padding2"
29,"Headbutt","Normal","physical",15,70,100,0,"May cause opponent to flinch.",0,"fine",0,0,30,0,0,0,0,0,0,73,0,0,0,83,83,0
30,"Horn Attack","Normal","physical",25,65,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
31,"Fury Attack","Normal","physical",20,25,100,0,"Multi-hit attack. Attacks two to five times in a row. 37.5% for 2 or 3 times; 12.5% for 4 or 5 times.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
32,"Horn Drill","Normal","physical",5,1,30,0,"One-hit KO. Deals damage to opponent equal to opponent's total HP. Ineffective if opponent's level is greater than user's level. When used, this attack's accuracy increases by the level difference. Affected by type immunities. Other accuracy effects are ignored for this attack.",0,"fine",0,0,0,0,0,0,0,9,0,73,0,0,0,83,83,0
33,"Tackle","Normal","physical",35,50,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
34,"Body Slam","Normal","physical",15,85,100,0,"May paralyze opponent. (30%)",30,"paralyzed",0,0,0,0,0,0,1,4,0,73,0,0,0,83,83,0
35,"Wrap","Normal","physical",20,35,100,0,"{Multi-turn attack. If this attack is successful, the effect begins. Effect lasts for [three to six] rounds, including the current round. During effect, opponent cannot switch or flee, and at the end of every round except the last, opponent loses 1/16 of total HP. Effect ends when user is replaced or opponent is replaced or uses Rapid Spin. The effect is not reset when this or another multi-turn attack is used against opponent during effect.} (100%)",100,"Special(8)",0,0,0,0,5,6,4,4,0,73,0,0,0,83,83,0
36,"Take Down","Normal","physical",20,90,100,0,"Returns to user 1/4 of HP lost by opponent due to this attack (recoil).",0,"fine",0,-25,0,0,0,0,0,0,0,73,0,0,0,83,83,0
37,"Thrash","Normal","physical",10,120,100,0,"If this attack is successful, the effect begins. Effect lasts for two or three rounds, including the current round. During effect, user uses this attack during each of its turns and can't take any other action. [When user uses this attack this way during the last round of the effect, it becomes confused at the end of that round], unless it's already confused. Effect ends without causing confusion if this attack's type is ineffective against opponent's types [before the last round of the effect], if user is prevented from using this attack, or when user falls asleep, becomes frozen, or is replaced [before the last round of the effect]. If user is asleep, this attack deals damage and lasts one turn (doesn't cause confusion).",0,"fine",0,0,0,0,0,0,0,0,9,73,0,0,0,83,83,0
38,"Double-Edge","Normal","physical",15,120,100,0,"Returns to user 1/3 of HP lost by user due to this attack (recoil).",0,"fine",0,-33,0,0,0,0,0,0,0,73,0,0,0,83,83,0
39,"Tail Whip","Normal","none",30,0,100,0,"Decreases opponent's Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,5,88,131072,16711680,0,83,83,0
40,"Poison Sting","Poison","physical",35,40,100,0,"May poison opponent. (50%)",30,"poisoned",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
41,"Twineedle","Bug","physical",20,25,100,0,"Strikes twice. May poison opponent. (20%)",20,"poisoned",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
42,"Pin Missile","Bug","physical",20,25,100,0,"Multi-hit attack. Attacks two to five times in a row. 37.5% for 2 or 3 times; 12.5% for 4 or 5 times.",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
43,"Leer","Normal","none",30,0,100,0,"Decreases opponent's Defense, Special Defense, and Speed by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,5,88,131072,16711680,0,83,83,0
44,"Bite","Dark","physical",25,70,100,0,"May cause opponent to flinch.",0,"fine",0,0,30,0,0,0,0,0,0,73,0,0,0,83,83,0
45,"Growl","Normal","none",40,0,100,0,"Decreases opponent's Attack, Special Attack, and Speed by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,5,344,65536,16711680,0,83,83,0
46,"Roar","Normal","none",20,0,100,-6,"{ Ends wild battles. In trainer battles, replaces opponent with a random non-active Pokémon in opponent's party; fails if opponent's party has no non-active Pokémon. Fails either way if Ingrain is in effect for opponent. Priority level -6.}",0,"fine",0,0,0,0,0,0,0,12,0,8536,0,0,0,83,83,0
47,"Sing","Normal","none",15,0,55,0,"Puts opponent to sleep.",0,"asleep",0,0,0,0,2,4,2,1,0,344,0,0,0,83,83,0
48,"Supersonic","Normal","none",20,0,75,0,"Confuses opponent.",0,"confused",0,0,0,0,2,5,2,1,0,344,0,0,0,83,83,0
49,"SonicBoom","Normal","special",20,1,100,0,"Deals 20 damage to opponent. Affected by type immunities.",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
50,"Disable","Normal","none",20,0,100,0,"For six rounds, including the current round, the last move used by opponent when this attack was used is disabled for opponent. Fails if opponent doesn't have that move or it has zero PP. During effect, this attack fails against opponent. Effect ends when opponent is replaced.",0,"Special(13)",0,0,0,0,6,6,2,13,0,8280,0,0,0,83,83,0
51,"Acid","Poison","special",30,40,100,0,"May decrease opponent's Special Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,6,5,72,262144,16711680,655360,83,83,0
52,"Ember","Fire","special",25,40,100,0,"May burn opponent. (10%)",10,"burnt",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
53,"Flamethrower","Fire","special",15,95,100,0,"May burn opponent. (10%)",10,"burnt",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
54,"Mist","Ice","none",30,0,101,0,"For five rounds, including the current round, attacks and abilities can't reduce the stat stages of each active Pokémon on the user's side if they are used by other Pokémon. During effect, this attack fails for user's party.",0,"fine",0,0,0,0,0,0,0,11,12,32,0,0,0,83,83,0
55,"Water Gun","Water","special",25,40,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
56,"Hydro Pump","Water","special",5,95,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
57,"Surf","Water","special",15,95,100,0,"If opponent is using Dive, this attack's power is doubled.",0,"fine",0,0,0,0,0,0,0,0,4,72,0,0,0,83,83,0
58,"Ice Beam","Ice","special",10,95,100,0,,0,"fine",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
59,"Blizzard","Ice","special",5,90,100,0,"During Hail, this attack has 120 power.",0,"fine",0,0,0,0,0,0,1,4,5,72,0,0,0,83,83,0
60,"Psybeam","Psychic","special",20,65,100,0,"May confuse opponent. (10%)",10,"confused",0,0,0,0,2,5,2,4,0,72,0,0,0,83,83,0
61,"BubbleBeam","Water","special",20,70,100,0,"May decrease opponent's Speed by 1 stage. (50%)",0,"fine",0,0,0,0,0,0,0,6,0,72,327680,16711680,655360,83,83,0
62,"Aurora Beam","Ice","special",20,65,100,0,"May decrease opponent's Attack by 1 stage.",0,"fine",0,0,0,0,0,0,0,6,0,72,65536,16711680,655360,83,83,0
63,"Hyper Beam","Normal","special",5,160,100,0,"If this attack is successful, on the next round, user can't take any action and does nothing during its turn. (That move is prevented from being used during that turn.)",0,"fine",0,0,0,0,0,0,0,0,0,76,0,0,0,83,83,0
64,"Peck","Flying","physical",35,35,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,2121,0,0,0,83,83,0
65,"Drill Peck","Flying","physical",20,80,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,2121,0,0,0,83,83,0
66,"Submission","Fighting","physical",25,80,100,0,"Returns to user 1/4 of HP lost by opponent due to this attack (recoil).",0,"fine",0,-25,0,0,0,0,0,0,0,73,0,0,0,83,83,0
67,"Low Kick","Fighting","physical",20,1,100,0,"This attack's power is 20 if the weight of the opponent's original species is 10 kilograms (kg) or less [or less than 10 kg], else 40 if 25 kg or less, else 60 if 50 kg or less, else 80 if 100 kg or less, else 100 if 200 kg or less, else 120.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
68,"Counter","Fighting","physical",20,1,100,-5,"If the last non-user who hit the user with a physical attack this round is one of user's opposing Pokémon, and there is a Pokemon at that non-user's position, deals damage to the Pokémon at that non-user's position equal to 2 times the amount of HP lost by user due to that attack. Fails if that amount is 0. Affected by type immunities. For multi-hit attacks, returns HP based on the last hit of that attack. Priority level -5.",0,"fine",0,0,0,0,0,0,0,0,13,9,0,0,0,83,83,0
69,"Seismic Toss","Fighting","physical",20,1,100,0,"Deals damage to opponent equal to user's level. Affected by type immunities.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
70,"Strength","Normal","physical",15,80,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
71,"Absorb","Grass","special",25,20,100,0,"If this attack is successful, user gains half of HP lost by opponent due to this attack.",0,"fine",0,50,0,0,0,0,0,8,0,72,0,0,0,83,83,0
72,"Mega Drain","Grass","special",15,40,100,0,"If this attack is successful, user gains half of HP lost by opponent due to this attack.",0,"fine",0,50,0,0,0,0,0,8,0,72,0,0,0,83,83,0
73,"Leech Seed","Grass","none",10,0,100,0,"{During effect, at the end of every round, if there is a Pokémon at user's position, opponent loses 1/8 of total HP, and the Pokémon at user's position gains HP lost by opponent. Effect ends when opponent is switched or uses Rapid Spin. Fails if opponent's current type includes Grass.}",0,"Special(18)",0,0,0,0,0,0,1,1,0,88,0,0,0,83,83,0
74,"Growth","Normal","none",40,0,101,0,"Increases user's Attack and Special Attack by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,7,32,66304,65792,0,83,83,0
75,"Razor Leaf","Grass","physical",25,60,100,0,,0,"fine",0,0,0,0,0,0,0,0,5,72,0,0,0,83,83,0
76,"SolarBeam","Grass","special",10,120,100,0,"Two-turn attack. Effectiveness is halved during Rain Dance, Sandstorm, fog, and Hail. During Sunny Day, this attack takes one turn.",0,"fine",0,0,0,0,0,0,0,0,0,74,0,0,0,83,83,0
77,"PoisonPowder","Poison","none",35,0,100,0,"Poisons opponent.",0,"poisoned",0,0,0,0,0,0,1,1,0,88,0,0,0,83,83,0
78,"Stun Spore","Grass","none",30,0,80,0,"Paralyzes opponent. (Not affected by type immunities.)",0,"paralyzed",0,0,0,0,0,0,1,1,0,88,0,0,0,83,83,0
79,"Sleep Powder","Grass","none",15,0,75,0,"Puts opponent to sleep.",0,"asleep",0,0,0,0,2,4,2,1,0,88,0,0,0,83,83,0
80,"Petal Dance","Grass","special",10,120,100,0,"If this attack is successful, the effect begins. Effect lasts for two or three rounds, including the current round. During effect, user uses this attack during each of its turns and can't take any other action. [When user uses this attack this way during the last round of the effect, it becomes confused at the end of that round], unless it's already confused. Effect ends without causing confusion if this attack's type is ineffective against opponent's types [before the last round of the effect], if user is prevented from using this attack, or when user falls asleep, becomes frozen, or is replaced [before the last round of the effect]. If user is asleep, this attack deals damage and lasts one turn (doesn't cause confusion).",0,"fine",0,0,0,0,0,0,0,0,9,73,0,0,0,83,83,0
81,"String Shot","Bug","none",40,0,100,0,"Decreases opponent's Speed by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,5,88,327680,16711680,0,83,83,0
82,"Dragon Rage","Dragon","special",10,1,100,0,"Deals 100 damage to opponent. Affected by type immunities.",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
83,"Fire Spin","Fire","special",15,35,100,0,"{Multi-turn attack. If this attack is successful, the effect begins. Effect lasts for [three to six] rounds, including the current round. During effect, opponent cannot switch or flee, and at the end of every round except the last, opponent loses 1/16 of total HP. Effect ends when user is replaced or opponent is replaced or uses Rapid Spin. The effect is not reset when this or another multi-turn attack is used against opponent during effect.} (100%)",100,"Special(8)",0,0,0,0,5,6,4,4,0,72,0,0,0,83,83,0
84,"ThunderShock","Electric","special",30,40,100,0,"May paralyze opponent. (10%)",10,"paralyzed",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
85,"Thunderbolt","Electric","special",15,95,100,0,"May paralyze opponent. (10%)",10,"paralyzed",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
86,"Thunder Wave","Electric","none",20,0,100,0,"Paralyzes opponent. (Not affected by type immunities.)",0,"paralyzed",0,0,0,0,0,0,1,1,0,88,0,0,0,83,83,0
87,"Thunder","Electric","special",10,85,100,0,"May paralyze opponent. During Rain Dance, this attack has 120 power. Otherwise, during Sunny Day, this attack's power is 60.",30,"paralyzed",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
88,"Rock Throw","Rock","physical",15,50,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
89,"Earthquake","Ground","physical",10,95,100,0,"is doubled if opponent is using Dig.",0,"fine",0,0,0,0,0,0,0,0,4,72,0,0,0,83,83,0
90,"Fissure","Ground","physical",5,1,30,0,"One-hit KO. Deals damage to opponent equal to opponent's total HP. Ineffective if opponent's level is greater than user's level. When used, this attack's accuracy increases by the level difference. Affected by type immunities. Other accuracy effects are ignored for this attack.",0,"fine",0,0,0,0,0,0,0,9,0,72,0,0,0,83,83,0
91,"Dig","Ground","physical",10,110,100,0,"Two-turn attack. While user is using this attack, user is unaffected by attacks other than Earthquake and Magnitude, and user doesn't lose HP because of Sandstorm and Hail.",0,"fine",0,0,0,0,0,0,0,0,0,75,0,0,0,83,83,0
92,"Toxic","Poison","none",10,0,100,0,"Badly poisons opponent.",0,"poisoned",0,0,0,0,15,15,1,1,0,88,0,0,0,83,83,0
93,"Confusion","Psychic","special",25,50,100,0,"May confuse opponent. (50%)",10,"confused",0,0,0,0,2,5,2,4,0,72,0,0,0,83,83,0
94,"Psychic","Psychic","special",10,90,100,0,"May decrease opponent's Special Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,6,0,72,262144,16711680,655360,83,83,0
95,"Hypnosis","Psychic","none",20,0,60,0,"Puts opponent to sleep.",0,"asleep",0,0,0,0,2,4,2,1,0,88,0,0,0,83,83,0
96,"Meditate","Psychic","none",40,0,101,0,"Increases user's Attack and Special Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,7,32,65536,65536,0,83,83,0
97,"Agility","Psychic","none",30,0,101,0,"Increases user's Speed by 2 stages.",0,"fine",0,0,0,0,0,0,0,2,7,32,327680,131072,0,83,83,0
98,"Quick Attack","Normal","physical",30,50,100,1,"Priority level 1.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
99,"Rage","Normal","physical",20,40,100,0,"If this attack is successful, the effect begins. During effect, whenever user loses HP due to an attack by a non-user (as well as Doom Desire and Future Sight), user's Attack is increased by 1 stage. Effect ends and user is no longer infatuated when user doesn't choose this move for use or when user is replaced.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
100,"Teleport","Psychic","none",20,0,101,0,"User flees from the wild battle. Fails if battle is a Trainer battle.",0,"fine",0,0,0,0,0,0,0,13,7,0,0,0,0,83,83,0
101,"Night Shade","Ghost","special",15,1,100,0,"Deals damage to opponent equal to user's level. Affected by type immunities.",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
102,"Mimic","Normal","none",10,0,101,0,"Copies last move used by opponent. That move replaces this move. The copied move has 5 PP. Fails if that move is Metronome, Struggle, Sketch, Mimic, Chatter, or any move user knows. Fails if Transform is in effect for user.",0,"fine",0,0,0,0,0,0,0,13,0,8200,0,0,0,83,83,0
103,"Screech","Normal","none",40,0,100,0,"Decreases opponent's Defense by 2 stages.",0,"fine",0,0,0,0,0,0,0,2,0,344,131072,16646144,0,83,83,0
104,"Double Team","Normal","none",15,0,0,0,"Increases user's evasiveness by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,7,32,458752,65536,0,83,83,0
105,"Recover","Normal","none",10,0,101,0,"User gains half of total HP. Fails if user's HP is full.",0,"fine",0,0,0,50,0,0,0,3,7,4128,0,0,0,83,83,0
106,"Harden","Normal","none",30,0,101,0,"Increases user's Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,7,32,131072,65536,0,83,83,0
107,"Minimize","Normal","none",20,0,0,0,"Increases user's evasiveness by 1 stage. Even if user's evasiveness cannot be increased, until user is replaced, the move Stomp, when used by non-users, deals double power against user.",0,"fine",0,0,0,0,0,0,0,2,7,32,458752,131072,0,83,83,0
108,"SmokeScreen","Normal","none",20,0,0,0,"Decreases opponent's Accuracy by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,0,88,393216,16711680,0,83,83,0
109,"Confuse Ray","Ghost","none",10,0,100,0,"Confuses opponent.",0,"confused",0,0,0,0,2,5,2,1,0,88,0,0,0,83,83,0
110,"Withdraw","Water","none",40,0,101,0,"Increases user's Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,7,32,131072,65536,0,83,83,0
111,"Defense Curl","Normal","none",40,0,101,0,"{Increases user's Defense and Special Defense by 1 stage. Even if user's Defense can't be increased, until user is replaced, the power of Ice Ball and Rollout, when used by user, is doubled. (Effect is not cumulative.)}",0,"fine",0,0,0,0,0,0,0,2,7,32,131072,65536,0,83,83,0
112,"Barrier","Psychic","none",30,0,101,0,"Increases user's Defense by 2 stages.",0,"fine",0,0,0,0,0,0,0,2,7,32,131072,131072,0,83,83,0
113,"Light Screen","Psychic","none",30,0,101,0,"{Effect lasts for five rounds including the current round. During effect, effectiveness of special non-critical-hit attacks against any active Pokémon on the user's side is halved as long as there is only one active Pokémon on the user's side, or multiplied by 2/3 otherwise. During effect, this attack fails for user's party.}",0,"fine",0,0,0,0,0,0,0,11,12,32,0,0,0,83,83,0
114,"Haze","Ice","special",30,40,101,0,"Resets all stat stages on all active Pokémon to zero.",0,"fine",0,0,0,0,0,0,0,10,10,8,0,0,0,83,83,0
115,"Reflect","Psychic","none",20,0,101,0,"{Effect lasts for five rounds including the current round. During effect, effectiveness of physical non-critical-hit attacks against any active Pokémon on the user's side is halved as long as there is only one active Pokémon on the user's side, or multiplied by 2/3 otherwise. During effect, this attack fails for user's party.}",0,"fine",0,0,0,0,0,0,0,11,12,32,0,0,0,83,83,0
116,"Focus Energy","Normal","none",30,0,101,0,"Increases chances of a critical hit for attacks by the user. Effect ends when user is switched.",0,"fine",0,0,0,0,0,0,0,13,7,32,0,0,0,83,83,0
117,"Bide","Normal","physical",10,1,101,1,"When this attack is used, the effect begins and X is set to 0. During effect, user uses this attack during each of its turns and can't take any other action, and whenever a non-user hits the user with a damaging attack, the HP lost by user due to that attack is added to X. After user's second turn after this one, deals X times 2 damage to the last non-user who hit the user with a damaging attack during this attack's effect, or if there is no Pokemon at that position, to one of the opposing Pokemon chosen at random, and this effect ends. Not affected by type immunities. Returned attack is considered an attack by the user. If, during effect, user is prevented from using this attack or is replaced, or when user falls asleep or becomes frozen, effect ends without returning an attack. Priority level 1.",0,"fine",0,0,0,0,0,0,0,0,7,9,0,0,0,83,83,0
118,"Metronome","Normal","none",10,0,101,0,"Uses a random move other than the following:  Metronome, Struggle, Sketch, Mimic, Chatter, Sleep Talk, Assist, Mirror Move, Counter, Mirror Coat, Protect, Detect, Endure, Destiny Bond, Thief, Follow Me, Snatch, Helping Hand, Covet, Trick, Focus Punch, Feint, Copycat, Me First, Switcheroo, or any move user knows.",0,"fine",0,0,0,0,0,0,0,13,7,0,0,0,0,83,83,0
119,"Mirror Move","Flying","none",20,0,101,0,"Uses with no target the last move that targeted the user, was not prevented from being used, was not used by another move, can be used with this attack, and has a target of ""single non-user"", ""all opposing Pokémon"", ""opposing Pokémon selected at random"", ""all non-users"", or ""no target"". Fails if the affected move is Encore. The affected move is reset for a Pokémon when it is replaced or one of its opposing Pokémon is replaced. (A two-turn attack targets a Pokémon on both turns of use.)",0,"fine",0,0,0,0,0,0,0,13,0,0,0,0,0,83,83,0
120,"Selfdestruct","Normal","physical",5,200,100,0,"User faints as part of this attack's use. Opponent's Defense is temporarily halved in damage calculation. Fails if no target exists (doesn't cause fainting).",0,"fine",0,0,0,0,0,0,0,0,4,72,0,0,0,83,83,0
121,"Egg Bomb","Normal","physical",10,75,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
122,"Lick","Ghost","physical",30,20,100,0,"May paralyze opponent. (30%)",30,"paralyzed",0,0,0,0,0,0,1,4,0,73,0,0,0,83,83,0
123,"Smog","Poison","special",20,20,100,0,"May poison opponent. (70%)",40,"poisoned",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
124,"Sludge","Poison","special",20,65,100,0,"May poison opponent. (30%)",30,"poisoned",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
125,"Bone Club","Ground","physical",20,65,100,0,"May cause opponent to flinch.",0,"fine",0,0,10,0,0,0,0,0,0,72,0,0,0,83,83,0
126,"Fire Blast","Fire","special",5,100,100,0,"May burn opponent. (10%)",10,"burnt",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
127,"Waterfall","Water","physical",15,80,100,0,"May cause opponent to flinch.",0,"fine",0,0,20,0,0,0,0,0,0,73,0,0,0,83,83,0
128,"Clamp","Water","physical",15,35,100,0,"{Multi-turn attack. If this attack is successful, the effect begins. Effect lasts for [three to six] rounds, including the current round. During effect, opponent cannot switch or flee, and at the end of every round except the last, opponent loses 1/16 of total HP. Effect ends when user is replaced or opponent is replaced or uses Rapid Spin. The effect is not reset when this or another multi-turn attack is used against opponent during effect.} (100%)",100,"Special(8)",0,0,0,0,5,6,4,4,0,73,0,0,0,83,83,0
129,"Swift","Normal","special",20,60,101,0,"Cannot be evaded.",0,"fine",0,0,0,0,0,0,0,0,5,72,0,0,0,83,83,0
130,"Skull Bash","Normal","physical",15,100,100,0,"Two-turn attack. On first turn of use, increases user's Defense by 1 stage. (100%)",100,"fine",0,0,0,0,0,0,0,0,0,75,0,0,0,83,83,0
131,"Spike Cannon","Normal","physical",15,20,100,0,"Multi-hit attack. Attacks two to five times in a row. 37.5% for 2 or 3 times; 12.5% for 4 or 5 times.",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
132,"Constrict","Normal","physical",35,10,100,0,"May decrease opponent's Speed by 1 stage.",0,"fine",0,0,0,0,0,0,0,6,0,73,327680,16711680,655360,83,83,0
133,"Amnesia","Psychic","none",20,0,101,0,"Increases user's Special Defense by 2 stages.",0,"fine",0,0,0,0,0,0,0,2,7,32,262144,131072,0,83,83,0
134,"Kinesis","Psychic","none",15,0,0,0,"Decreases opponent's Accuracy by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,0,88,393216,16711680,0,83,83,0
